,href,title
60,https://crazy.ck101.com/post/13976,候選人政見太狂 單身網友嗨爆
61,https://crazy.ck101.com/post/13975,來亂 作戲 作秀的游藝參選候選人???
62,https://crazy.ck101.com/post/13970,不敢接受辯論的西瓜市！最浪費選民時間的政見發表會
63,https://crazy.ck101.com/post/13966,國民黨又出新招！先告狀指稱「別人幫我賄選」
64,https://crazy.ck101.com/post/13963,惡意逼車
65,https://crazy.ck101.com/post/13962,統媒假新聞造謠不遺餘力，汙辱選民遭嗆爆D能媒體
66,https://crazy.ck101.com/post/13957,空心韓導辯論被打爆！喜韓兒傾巢而出造謠陳其邁戴耳機
67,https://crazy.ck101.com/post/13951,狂者媽媽！搭車驚遇兒子搶劫　當場脫拖鞋啪啪打爆
68,https://crazy.ck101.com/post/13950,侯友宜批賴神撒錢沒給新北 蘇貞昌：幾百億講成0元
69,https://crazy.ck101.com/post/13946,邱議瑩臉書留言蒸發30萬則
70,https://crazy.ck101.com/post/13945,神氏家族低能鬥陣日常第二彈!!
71,https://crazy.ck101.com/post/13944,李明彥落網 大喊：是鋼筋打人不是我打的！
72,https://crazy.ck101.com/post/13940,遲到扣全勤？女騎士等紅燈全脫剩黑色Bra！眾人看傻
73,https://crazy.ck101.com/post/13938,有沒有看過自己人跟自己人辯論? 而且一共9場喔
74,https://crazy.ck101.com/post/13935,韓國瑜屢屢失言！許淑華嗆「沒有最蠢只有更蠢」
75,https://crazy.ck101.com/post/13933,聲援婦聯會被質疑 柯文哲道歉認「錯誤的援引例證」
76,https://crazy.ck101.com/post/13932,新竹縣尖石溫泉
77,https://crazy.ck101.com/post/13930,L牌車子很貴   https://www.facebook.com/242305665805605/posts/2185580184811467/
78,https://crazy.ck101.com/post/13925,館長栽贓沒簽ECFA害社頭，結果早簽了還害慘台灣經濟
79,https://crazy.ck101.com/post/13924,韓國瑜愛情摩天輪政策分析報告
80,https://crazy.ck101.com/post/13922,看到觀落陰的三立新聞???
81,https://crazy.ck101.com/post/13920,已經講別捐血作秀了！韓國瑜硬要發通知慘遭噓爆
82,https://crazy.ck101.com/post/13919,可恥！大家忙救災，統媒竟藉機操作政治製造對立
83,https://crazy.ck101.com/post/13918,普悠瑪列車出事之後，就怪前朝馬政府的名嘴
84,https://crazy.ck101.com/post/13916,不聽話就下地獄，水晶界Seafood再現，她吃了人面魚，還說魚親自跟她說謝謝!
85,https://crazy.ck101.com/post/13915,重大災難還政治算計媒體版面，這舉動讓醫護人員全罵翻
86,https://crazy.ck101.com/post/13907,狂！韓國瑜小編上節目罵高雄人又老又窮
87,https://crazy.ck101.com/post/13906,高市議員抽籤 獨派女參選人「全脫」!!!
88,https://crazy.ck101.com/post/13898,通緝犯因吸毒加逃逸致死，恐龍法官加碼國賠大放送
89,https://crazy.ck101.com/post/13895,砲兵偽造訃聞騙喪假 曾祖母被他復活又賜死2次
90,https://crazy.ck101.com/post/13894,選情告急搞腳尾飯！嗆綠關FB 竟是造謠怕被吉自己關的
91,https://crazy.ck101.com/post/13893,古人有云.........「誠摯終招忌」
92,https://crazy.ck101.com/post/13892,「火雲邪神」借廁所遭拒　抓全家店員出氣
93,https://crazy.ck101.com/post/13891,經濟部長用鼻孔插電？！
94,https://crazy.ck101.com/post/13887,億萬富豪墜機全家喪命 疑自拍打暈機師釀禍
95,https://crazy.ck101.com/post/13882,高雄人短命因不搭捷運？馬英九再度失言遭唾棄
96,https://crazy.ck101.com/post/13880,白賊又發威稱任內整治愛河？遭嗆釀氣爆管線你亂埋的
97,https://crazy.ck101.com/post/13879,朱立倫核定深澳電廠遭停建，環團髮夾彎砲轟賴清德
98,https://crazy.ck101.com/post/13878,反綠軒哥撞死3人15萬交保！遭起底黨國附隨黑道組織
99,https://crazy.ck101.com/post/13874,廢死迎英議員 最高院遭罵翻
100,https://crazy.ck101.com/post/13872,只有KMT能超越KMT的狂! 死人聯署再使穢土轉生來輔選
101,https://crazy.ck101.com/post/13871,反綠反到智堪慮？館長直播違規遭停權卻怪陳其邁
102,https://crazy.ck101.com/post/13861,兩岸一家親！中華台北隊作弊遭《爐石》取消世界賽資格
103,https://crazy.ck101.com/post/13860,中華民國記者丟臉！台灣新聞竟靠日媒報導揭露
104,https://crazy.ck101.com/post/13856,文成武德神助防護罩！25個颱風遇台灣皆轉向
105,https://crazy.ck101.com/post/13854,頑童「拍馬屁」一腳被踹飛重擊路邊機車倒地大哭不起
106,https://crazy.ck101.com/post/13846,電影【紅樓夢】入選十幾個影展大受國際好評，胖虎拍攝紅樓夢強調真槍實彈 網友回應: 是跟臨演嗎?　
107,https://crazy.ck101.com/post/13844,太87！笨賊偷車被防盜反鎖　崩潰敲窗：讓我出去
108,https://crazy.ck101.com/post/13843,馬自達之五趴馬傳奇
109,https://crazy.ck101.com/post/13842,運結識藥頭 政治網紅染毒被捕內幕
110,https://crazy.ck101.com/post/13839,搭摩天輪頭髮竟被扯進去 正妹頭皮遭「酷刑」撕開
111,https://crazy.ck101.com/post/13837,面對國民黨的雛妓樂園，馬英九表示她們都自願的
112,https://crazy.ck101.com/post/13835,塑膠微粒全面入侵！環保署全面調查，自來水、海水、沙灘、貝類都含塑膠微粒
113,https://crazy.ck101.com/post/13833,毒咖啡印「火影忍者」主角 男子答不出名字被逮
114,https://crazy.ck101.com/post/13830,告網友又挨罵低能兒　王瑞德嗆「你是第21個」
115,https://crazy.ck101.com/post/13828,【蘋果直擊】南台灣「天坑之謎」　秒懂官商勾結怎麼搞
116,https://crazy.ck101.com/post/13826,白目男獻身誘惑小鱷魚　下場悲劇險遭絕子絕孫！
117,https://crazy.ck101.com/post/13822,開車進隧道險撞「長髮裸女」　網嚇壞：確定是人？
118,https://crazy.ck101.com/post/13821,不只算錯…戴資穎臉書發感性文 竟被政院列入「假新聞」???
119,https://crazy.ck101.com/post/13820,姚、蘇民調「超驚人」？彭文正慘遭打臉：不愧是台大教授
120,https://crazy.ck101.com/post/13819,糗！政院算錯假新聞 算不算是假新聞
121,https://crazy.ck101.com/post/13815,殺4人被判死！冷血殺人犯無悔意 開庭時「倒頭狂睡」XD
122,https://crazy.ck101.com/post/13811,外交部駐外單位資源不足的真相，政治卸責下的犧牲者：是誰，殺了我們的外交官？
123,https://crazy.ck101.com/post/13810,海濤法師又有驚人見解
124,https://crazy.ck101.com/post/13806,中國造假新聞統媒跟風，酸民害死駐大阪辦事處長
125,https://crazy.ck101.com/post/13804,巴塞隆納禁21呎「棺材房」出租
126,https://crazy.ck101.com/post/13802,加賴/微信:wuso258台灣本土正妹雙飛無套全場3K起
127,https://crazy.ck101.com/post/13799,雙語
128,https://crazy.ck101.com/post/13796,【前鎮冰屍】獵奇凶案逆轉！　長子為錢花百萬雇友弒父
129,https://crazy.ck101.com/post/13795,烏克蘭的代孕產業：游走在法律邊緣
130,https://crazy.ck101.com/post/13790,騎士高架橋下等紅燈 大雨水柱沖頭如SPA
131,https://crazy.ck101.com/post/13789,外交部的兩種作為：楊偉中 VS 滯日國人，﻿﻿﻿臺灣政府對滯日國人到底做了什麼？！
132,https://crazy.ck101.com/post/13786,雙北民眾注意！ 土石流黃色警戒53條
133,https://crazy.ck101.com/post/13784,89小妹就是狂
134,https://crazy.ck101.com/post/13782,暴雨來襲！台北地區遍地開花　這些地方都淹水了
135,https://crazy.ck101.com/post/13780,亞培安素等6產品共客訴629件　衛生局：全下架
136,https://crazy.ck101.com/post/13777,爭鮮極限大胃王挑戰
137,https://crazy.ck101.com/post/13776,人不勝天！日本天災露餡 核電廠全黑 人工島機場長期封鎖…???
138,https://crazy.ck101.com/post/13775,現在團體的心態想法就只會講幹話嗎???
139,https://crazy.ck101.com/post/13769,兒煮河豚肝孝親　阿爸吃一口呼吸衰竭插管
140,https://crazy.ck101.com/post/13768,兒子玩「吃雞」遊戲仿跳樓亡 母控內容不實：告到它破產
141,https://crazy.ck101.com/post/13767,批判以核養綠 環團說核廢仍是難題???
142,https://crazy.ck101.com/post/13762,國防部為2000多元告台水 法官斥耗費司法資源損及政府競爭力
143,https://crazy.ck101.com/post/13761,恢復處女膜
144,https://crazy.ck101.com/post/13760,【悲傷片】駕動力傘迫降　飛行傘協會前理事命喪蘭陽溪
145,https://crazy.ck101.com/post/13757,【崩潰片】阿根廷貨幣危機惡化！升息至60%全球最高 　披索再暴跌
146,https://crazy.ck101.com/post/13756,衛生紙、499之後連麥當勞都來亂　網友稱鬼島日常
147,https://crazy.ck101.com/post/13755,亞運棒球中華隊與日本0比5遭完封 明與中國爭銅
148,https://crazy.ck101.com/post/13753,死囚李宏基伏法 廢死嗆用人頭換人投
149,https://crazy.ck101.com/post/13752,中年女子亂丟垃圾 人家是女生 大聲沒禮貌
150,https://crazy.ck101.com/post/13750,綠營4年前倡核四公投，4年後自打臉
151,https://crazy.ck101.com/post/13749,挺綠網友也要硬拗跳出來護航了嗎???
152,https://crazy.ck101.com/post/13746,破解以核養綠十大謊言 環團：馬英九不該講不負責幹話
153,https://crazy.ck101.com/post/13743,長輩圖呼籲「以核養綠」？別再相信沒有根據的說法了???
154,https://crazy.ck101.com/post/13740,吳祥輝揚言砍人，造成人民恐慌。
155,https://crazy.ck101.com/post/13739,好市多接連出包！生蝦驗出致癌物，酪梨重金屬鎘超標，草莓藍莓農藥超標
156,https://crazy.ck101.com/post/13735,中南部豪雨成災！吳敦義夫人見獵心喜喊「老天有眼」
157,https://crazy.ck101.com/post/13732,黃國昌下戰書　體協集體舞弊憑啥緩起訴？
158,https://crazy.ck101.com/post/13730,這.....斷句斷的有點強
159,https://crazy.ck101.com/post/13729,海濤法師到英國墓園燒香做法 佛教徒不解問「做秀嗎」
160,https://crazy.ck101.com/post/13727,痛痛痛!!! 疼疼疼!!!亞運棒球贏南韓 作家朱宥勳被打臉!!!
161,https://crazy.ck101.com/post/13723,報告蔡總統與賴院長：這樣的雨下在基隆河流域不會淹水
162,https://crazy.ck101.com/post/13715,爆紅蔣月惠拄杖抗議　「雨神同行」護屏東大灣美景
163,https://crazy.ck101.com/post/13710,台南淹水遭批治水失敗 賴清德：批評的人去當上帝
164,https://crazy.ck101.com/post/13703,想砸店卻先砸暈同夥 根本豬隊友無誤
165,https://crazy.ck101.com/post/13700,神鬼建築師
166,https://crazy.ck101.com/post/13699,西班牙翻譯謊稱自己是設計師？！還當上建築獎評審
167,https://crazy.ck101.com/post/13697,國民黨選舉主打重罰酒駕，結果肇逃還找助理頂罪
168,https://crazy.ck101.com/post/13696,美國NASA認證「人一藍、腦就殘」
169,https://crazy.ck101.com/post/13692,外國男子停紅燈吃腳吃到忘我
170,https://crazy.ck101.com/post/13691,決定不再跟父母要錢   但先要一台BMW開計程車
171,https://crazy.ck101.com/post/13685,建商小開，到處作惡
172,https://crazy.ck101.com/post/13684,上狄卡找鄉民想辦法隱瞞戴男友綠帽的事實？
173,https://crazy.ck101.com/post/13683,曾罵柯P呷賽　時代力量林昶佐：因「兩岸一家親」就說柯P是統派不公平
174,https://crazy.ck101.com/post/13673,高雄小妹為了朋友出口氣到處翻群甚至盜照
175,https://crazy.ck101.com/post/13672,乘客因血糖太低在公車上吃糖 白髮阿伯氣到趕她下車？！
176,https://crazy.ck101.com/post/13667,嗆鄭問憑啥進故宮辦展！粉絲怒吼要謝金河妻道歉
177,https://crazy.ck101.com/post/13665,【基本工資調漲】月薪23100元僅增5％　勞方一度集體離席抗議
178,https://crazy.ck101.com/post/13662,北七民眾投訴救護車吵到小孩
179,https://crazy.ck101.com/post/13659,華山分屍案找到不明DNA  結果人體組織變牛肉???
180,https://crazy.ck101.com/post/13653,歌手喊全場跳起來 西班牙音樂節看台塌陷
181,https://crazy.ck101.com/post/13651,【蚊子豪宅】瓏山林信義鬧區藏荒樓　完工7年黑漆漆
182,https://crazy.ck101.com/post/13650,兩則狂新聞素材提供
183,https://crazy.ck101.com/post/13648,35周孕婦衝急診遭嗆　屏東寶建醫院道歉：醫師應答會加強
184,https://crazy.ck101.com/post/13645,颱風天94要泛舟 大雨一來 台灣大道變運河了
185,https://crazy.ck101.com/post/13643,量大不處理就偷排？　議員揪高雄鳳山污水廠排黑水
186,https://crazy.ck101.com/post/13641,黑心！桃園發霉長蟲蛋液流入桃竹苗　檢方急扣2萬6千公斤壞蛋
187,https://crazy.ck101.com/post/13639,法律系畢業　經營地下錢莊坑缺錢婦
188,https://crazy.ck101.com/post/13629,不怕晚上被水鬼煮來吃? 國軍山羊站崗
189,https://crazy.ck101.com/post/13628,這幾天被炒很兇的全聯廣告...
190,https://crazy.ck101.com/post/13623,佩佩豬活了
191,https://crazy.ck101.com/post/13622,我以為最近不正常的只有姚姚跟丁丁
192,https://crazy.ck101.com/post/13621,阿公有搖滾魂 逃家只為了參加音樂祭
193,https://crazy.ck101.com/post/13620,生達降血壓藥原料含致癌NDMA　珠海潤都：低於歐洲參考限定值0.3ppm
194,https://crazy.ck101.com/post/13618,鄰長  不修監視器多年  原來是為了方便偷東西 老賊偷了十年有
195,https://crazy.ck101.com/post/13617,就結果論而言 她是成功的
196,https://crazy.ck101.com/post/13612,33歲人妻偷吃國中生　車震玩遍摩鐵挨告性侵
197,https://crazy.ck101.com/post/13603,高雄團購名店春鑫食品驚傳倒閉　廠商討嘸2百萬貨款
198,https://crazy.ck101.com/post/13601,潑漆浪費錢？蔡丁貴：維護銅像花更多
199,https://crazy.ck101.com/post/13598,悉尼Chatswood 1503北雪梨靈糧堂教會與Chatswood 沙拉工廠聯合起來一起欺騙、隱瞞一人
200,https://crazy.ck101.com/post/13597,〈南山人壽內控缺失〉操盤手炒股案後續 顧立雄：南山自認無涉內稽內控
201,https://crazy.ck101.com/post/13596,金檢期間竟偷刪電郵資料　金管會震怒罰富邦人壽逾千萬
202,https://crazy.ck101.com/post/13595,侯探長不只會節稅跟通靈，直接自曝還會騷擾小朋友
203,https://crazy.ck101.com/post/13593,[行車紀錄器]這個操作，我給100分
204,https://crazy.ck101.com/post/13592,美麗島民調：46%民眾贊成蔡英文承認一中與中國談判
